state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp
Perlis,P.001 Padang Besar,1,Rushdan Bin Rusmi,RUSHDAN BIN RUSMI,44,male,bumiputera,PERIKATAN NASIONAL (PN),24267,1,won,1
Perlis,P.002 Kangar,1,Zakri Bin Hassan,CIKGU ZAKRI,57,male,bumiputera,PERIKATAN NASIONAL (PN),24562,1,won,1
Perlis,P.003 Arau,2,Shahidan Bin Kassim,SHAHIDAN BIN KASSIM,71,male,bumiputera,PERIKATAN NASIONAL (PN),31458,1,won,0
Kedah,P.004 Langkawi,2,Mohd Suhaimi Bin Abdullah,MOHD SUHAIMI BIN ABDULLAH,46,male,bumiputera,PERIKATAN NASIONAL (PN),25463,1,won,1
Kedah,P.005 Jerlun,1,Abd Ghani Bin Ahmad,DR. ABD GHANI AHMAD,52,male,bumiputera,PERIKATAN NASIONAL (PN),31685,1,won,1
Kedah,P.006 Kubang Pasu,1,Ku Abd Rahman Bin Ku Ismail,DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,70,male,bumiputera,PERIKATAN NASIONAL (PN),47584,1,won,1
Kedah,P.007 Padang Terap,4,Nurul Amin Bin Hamid,USTAZ NURUL AMIN,39,male,bumiputera,PERIKATAN NASIONAL (PN),28217,1,won,1
Kedah,P.008 Pokok Sena,2,Ahmad Bin Saad @ Yahaya,DATO' AHMAD YAHAYA,47,male,bumiputera,PERIKATAN NASIONAL (PN),52275,1,won,1
Kedah,P.009 Alor Setar,2,Afnan Hamimi Bin Taib Azamudden,AFNAN HAMIMI BIN DATO' HAJI TAIB AZAMUDDEN,41,male,bumiputera,PERIKATAN NASIONAL (PN),37486,1,won,1
Kedah,P.010 Kuala Kedah,4,Ahmad Fakhruddin Bin Fakhrurazi,DR. AHMAD FAKHRUDDIN,51,male,bumiputera,PERIKATAN NASIONAL (PN),56298,1,won,1
Kedah,P.011 Pendang,1,Awang Bin Hashim,DATUK HAJI AWANG SOLAHUDIN,58,male,bumiputera,PERIKATAN NASIONAL (PN),49008,1,won,0
Kedah,P.012 Jerai,3,Sabri Bin Azit,USTAZ SABRI BIN AZIT,56,male,bumiputera,PERIKATAN NASIONAL (PN),49461,1,won,0
Kedah,P.013 Sik,3,Ahmad Tarmizi Bin Sulaiman,AHMAD TARMIZI SULAIMAN,46,male,bumiputera,PERIKATAN NASIONAL (PN),34606,1,won,0
Kedah,P.014 Merbok,4,Mohd Nazri Bin Abu Hassan,MOHD NAZRI,52,male,bumiputera,PERIKATAN NASIONAL (PN),52573,1,won,1
Kedah,P.015 Sungai Petani,1,Mohammed Taufiq Bin Johari,DR. TAUFIQ BIN DATO' JOHARI,26,male,bumiputera,PAKATAN HARAPAN (PH),50580,1,won,1
Kedah,P.016 Baling,4,Hassan Bin Saad,USTAZ HASSAN,65,male,bumiputera,PERIKATAN NASIONAL (PN),64493,1,won,1
Kedah,P.017 Padang Serai,4,Azman Bin Nasrudin,DATO' CIKGU AZMAN,50,male,bumiputera,PERIKATAN NASIONAL (PN),51637,1,won,1
Kedah,P.018 Kulim-Bandar Baharu,2,Roslan Bin Hashim,CIKGU ROSLAN HASHIM,55,male,bumiputera,PERIKATAN NASIONAL (PN),34469,1,won,1
Kelantan,P.019 Tumpat,2,Mumtaz Binti Md Nawi,DATO' KAK TAZ,50,female,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),65426,1,won,1
Kelantan,P.020 Pengkalan Chepa,4,Ahmad Marzuk Bin Shaary,DATUK MARZUK,46,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),53933,1,won,0
