UNIQUECODE,STATE,PARLIAMENTARYCODE,PARLIAMENTARYNAME,TOTALELECTORS,MALAY,CHINESE,INDIANS,ORANGASLI,BUMIPUTERASABAH,BUMIPUTERASARAWAK,OTHERS,ELECTORSNORMALVOTERS,ELECTORSABSENTVOTERS,ELECTORSPOLICE,ELECTORSMILITARY,Q,R,S,T,U,V,W,X,ABOVE90,MALEELECTORS,WOMENELECTORS,URBANRURALCLASSIFICATION2022,parlimen,v1,state,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,_merge
P.206,SARAWAK,P.206,Tanjong Manis,32948,23.26,6.06,.05,.43,69.81999999999999,.01,.38,99.98,0,.02,0,6.88,22.45,21.37,17.29,15.54,10.19,4.55,1.24,.48,49.94,50.06,Rural,P.206 Tanjong Manis,205,Sarawak,1,Yusuf Bin Abd Wahab,IR. YUSUF ABD WAHAB,58,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),16474,1,won,0,Others,Matched (3)
P.207,SARAWAK,P.207,Igan,28290,5.96,3.83,.02,.47,89.43000000000001,0,.28,99.73,0,.27,0,6.68,23,21.79,15.98,15.39,10.46,5.08,1.3,.31,49.41,50.59,Rural,P.207 Igan,206,Sarawak,1,Ahmad Johnie Bin Zawawi,AHMAD JOHNIE BIN ZAWAWI,60,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),15824,1,won,0,Others,Matched (3)
P.208,SARAWAK,P.208,Sarikei,55018,4.56,60.65,.03,.2,34.32,.01,.22,99.40000000000001,0,.6,0,5.54,19.36,20.29,17.55,16.06,12.2,6.15,2.17,.67,50.27,49.73,Rural,P.208 Sarikei,207,Sarawak,1,Huang Tiong Sii,HUANG TIONG SII,53,male,chinese,GABUNGAN PARTI SARAWAK (GPS),20080,1,won,1,Others,Matched (3)
P.209,SARAWAK,P.209,Julau,34850,.48,4.98,.02,.17,93.77,.01,.5600000000000001,99.81,0,.19,0,6.3,20.47,19.97,17.9,16.75,10.36,5.25,1.98,1.02,51.03,48.97,Rural,P.209 Julau,208,Sarawak,3,Larry Soon @ Larry Sng Wei Shien,LARRY SOON @ LARRY SNG WEI SHIEN,43,male,chinese,PARTI BANGSA MALAYSIA (PBM),9159,1,won,0,Others,Matched (3)
P.210,SARAWAK,P.210,Kanowit,30988,1.74,11.53,.02,.2,86.19,0,.32,99.73,0,.27,0,6.28,19.45,20.88,16.43,16.27,11.83,5.78,2.11,.98,49.94,50.06,Rural,P.210 Kanowit,209,Sarawak,3,Ago Anak Dagang,AARON AGO ANAK DAGANG,63,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),7411,1,won,0,Others,Matched (3)
P.211,SARAWAK,P.211,Lanang,87356,4.23,64.95999999999999,.05,.45,30.07,.01,.23,98.02,0,.82,1.16,5.99,21.08,19.8,17.21,15.1,12.11,6.09,1.99,.63,49.33,50.67,Urban,P.211 Lanang,210,Sarawak,3,Alice Lau Kiong Yieng,ALICE LAU KIONG YIENG,41,female,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),30120,1,won,0,Others,Matched (3)
P.212,SARAWAK,P.212,Sibu,105875,10.4,62.03,.12,.46,26.75,.02,.22,97.81999999999999,.01,.51,1.66,6.25,21.32,21.87,17.81,14.84,10.69,5.01,1.69,.53,49.75,50.25,Urban,P.212 Sibu,211,Sarawak,1,Oscar Ling Chai Yew,OSCAR LING CHAI YEW,45,male,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),31287,1,won,0,Others,Matched (3)
P.213,SARAWAK,P.213,Mukah,46964,3.29,9.890000000000001,.05,.46,86.06999999999999,0,.23,99.56999999999999,0,.43,0,6.66,21.83,20.73,16.92,15.67,10.75,5.61,1.49,.34,50.63,49.37,Rural,P.213 Mukah,212,Sarawak,1,Hanifah Hajar Taib,HANIFAH HAJAR TAIB,50,female,bumiputera,GABUNGAN PARTI SARAWAK (GPS),21733,1,won,0,Others,Matched (3)
P.214,SARAWAK,P.214,Selangau,45743,1.01,3.78,.02,.27,94.5,0,.43,99.81,0,.19,0,7.52,21.74,20.72,17.6,15.34,9.75,4.7,1.77,.85,50.61,49.39,Rural,P.214 Selangau,213,Sarawak,2,Edwin Anak Banta,EDWIN ANAK BANTA,57,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),16078,1,won,1,Others,Matched (3)
P.215,SARAWAK,P.215,Kapit,45210,2.37,8.710000000000001,.04,.23,88.09,0,.5600000000000001,99.59,0,.4,0,6.79,20.91,21.61,16.7,15.65,10,5.33,2.07,.9399999999999999,49.54,50.46,Rural,P.215 Kapit,214,Sarawak,1,Alexander Nanta Linggi,ALEXANDER NANTA LINGGI,64,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),16522,1,won,0,Others,Matched (3)
P.216,SARAWAK,P.216,Hulu Rajang,43438,.98,1.81,.03,.42,95.97,.02,.77,99.81999999999999,0,.18,0,7.55,22.72,21.21,16.32,14.47,9.31,4.74,2.29,1.39,51.02,48.98,Rural,P.216 Hulu Rajang,215,Sarawak,2,Ugak Anak Kumbong,UGAK ANAK KUMBONG,60,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),15456,1,won,0,Others,Matched (3)
P.217,SARAWAK,P.217,Bintulu,113599,9.81,25.24,.1,.64,63.79,0,.42,99.25,0,.34,.41,7.76,24.6,21.6,16.18,14.94,9.789999999999999,3.73,1.01,.39,50.84,49.16,Urban,P.217 Bintulu,216,Sarawak,2,Tiong King Sing,DATO SRI TIONG KING SING,61,male,chinese,GABUNGAN PARTI SARAWAK (GPS),43455,1,won,0,Others,Matched (3)
P.218,SARAWAK,P.218,Sibuti,58522,18.39,22.84,.17,.72,57,0,.88,98.67,.01,.09,1.24,6.91,23.94,23.43,16.32,13.25,10.25,4.47,1.1,.32,51.52,48.48,Rural,P.218 Sibuti,217,Sarawak,1,Lukanisman Bin Awang Sauni,LUKANISMAN BIN AWANG SAUNI,40,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),22150,1,won,0,Others,Matched (3)
P.219,SARAWAK,P.219,Miri,143229,16.78,46.38,.32,.79,35.13,0,.6,99.27,.01,.73,0,6.74,22.56,21.75,16.65,14.37,11.17,4.82,1.46,.47,49.87,50.13,Urban,P.219 Miri,218,Sarawak,3,Chiew Choon Man,CHIEW CHOON MAN,31,male,chinese,PAKATAN HARAPAN (PH),39549,1,won,1,PH,Matched (3)
P.220,SARAWAK,P.220,Baram,59535,4.52,7.44,.04,.34,86.59,.04,1.04,99.87,0,.13,0,6.34,19.13,19.55,16.69,16.36,12.01,5.43,2.68,1.8,51.69,48.31,Rural,P.220 Baram,219,Sarawak,1,Anyi Ngau,ANYI NGAU,64,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),18399,1,won,0,Others,Matched (3)
P.221,SARAWAK,P.221,Limbang,41999,25.82,17.48,.1,6.21,49.39,0,1.01,99.14,0,.86,0,6.77,20.66,21.9,17.1,14.78,11.84,4.78,1.61,.55,51.06,48.94,Rural,P.221 Limbang,220,Sarawak,2,Hasbi Bin Habibollah,HASBI BIN HABIBOLLAH,59,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),14897,1,won,0,Others,Matched (3)
P.222,SARAWAK,P.222,Lawas,33655,35.9,9.42,.12,3.1,50.58,.01,.86,99.7,0,.3,0,7.08,22.25,21.69,16.95,14.65,10.88,4.34,1.57,.6,51.77,48.23,Rural,P.222 Lawas,221,Sarawak,3,Henry Sum Agong,HENRY SUM AGONG,76,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),11361,1,won,0,Others,Matched (3)
