UNIQUECODE,STATE,PARLIAMENTARYCODE,PARLIAMENTARYNAME,TOTALELECTORS,MALAY,CHINESE,INDIANS,ORANGASLI,BUMIPUTERASABAH,BUMIPUTERASARAWAK,OTHERS,ELECTORSNORMALVOTERS,ELECTORSABSENTVOTERS,ELECTORSPOLICE,ELECTORSMILITARY,Q,R,S,T,U,V,W,X,ABOVE90,MALEELECTORS,WOMENELECTORS,URBANRURALCLASSIFICATION2022,parlimen,v1,state,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,_merge
P.021,KELANTAN,P.021,Kota Bharu,115450,84.33,13.75,.76,.06,.06,0,1.04,99.23999999999999,.02,.74,0,5.45,20.86,23.96,16.79,13.82,11.33,5.74,1.62,.43,49.34,50.66,Urban,P.021 Kota Bharu,20,Kelantan,1,Takiyuddin Bin Hassan,DATUK SERI TAKIYUDDIN,61,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),41869,1,won,0,PN,Matched (3)
P.022,KELANTAN,P.022,Pasir Mas,94544,97.29000000000001,1.96,.06,.05,.02,0,.62,99.87,0,.13,0,6.53,22.73,23.45,16.89,13.37,9.75,5.04,1.71,.53,49.45,50.55,Semi Urban,P.022 Pasir Mas,21,Kelantan,2,Ahmad Fadhli Bin Shaari,USTAZ FADHLI SHAARI,42,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),44444,1,won,0,PN,Matched (3)
P.023,KELANTAN,P.023,Rantau Panjang,93248,96.65000000000001,1.95,.07,.06,.05,0,1.22,99.56,.02,.38,.04,7.04,23.44,22.95,16.32,13.55,9.81,4.75,1.6,.54,50.33,49.67,Semi Urban,P.023 Rantau Panjang,22,Kelantan,2,Siti Zailah Binti Mohd Yusoff,KAK LAH,59,female,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),37759,1,won,0,PN,Matched (3)
P.024,KELANTAN,P.024,Kubang Kerian,113640,97.34,2,.16,.04,.04,0,.41,99.90000000000001,.01,.09,0,7.54,25.42,24.78,15.75,12.22,8.67,4.23,1.11,.27,49.14,50.86,Semi Urban,P.024 Kubang Kerian,23,Kelantan,4,Tuan Ibharim Bin Tuan Man,USTAZ DATO' TUAN IBRAHIM,62,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),55654,1,won,0,PN,Matched (3)
P.025,KELANTAN,P.025,Bachok,123183,98.26000000000001,1.08,.04,.05,.04,.01,.52,99.79000000000001,.01,.2,0,7.42,24.14,24.92,16.92,12.65,8.529999999999999,4.15,1.05,.22,49.08,50.92,Semi Urban,P.025 Bachok,24,Kelantan,1,Mohd Syahir Bin Che Sulaiman,SYAHIR SULAIMAN,39,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),57130,1,won,1,PN,Matched (3)
P.026,KELANTAN,P.026,Ketereh,85281,96.59999999999999,1.91,.08,.25,.51,.01,.65,96.41,.01,.06,3.53,6.95,23.98,24.99,16.96,12.93,8.84,4.06,1.08,.21,50.07,49.93,Semi Urban,P.026 Ketereh,25,Kelantan,3,Khlir Bin Mohd Nor,MEJ JEN DATO HJ KHLIR (B),64,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),40542,1,won,1,PN,Matched (3)
P.027,KELANTAN,P.027,Tanah Merah,98782,94.31999999999999,4.11,.49,.06,.05,0,.97,99.70999999999999,.01,.28,0,6.85,23.47,24.66,17.41,12.86,9.57,3.97,1.03,.19,49.33,50.67,Semi Urban,P.027 Tanah Merah,26,Kelantan,5,Ikmal Hisham Bin Abdul Aziz,DATO' SRI IKMAL HISHAM,57,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),54266,1,won,0,PN,Matched (3)
P.028,KELANTAN,P.028,Pasir Puteh,113070,98.04000000000001,.89,.04,.05,.04,0,.9399999999999999,99.76000000000001,.01,.23,0,7.22,23.88,24.06,16.71,13.27,8.94,4.42,1.24,.26,48.6,51.4,Semi Urban,P.028 Pasir Puteh,27,Kelantan,4,Nik Muhammad Zawawi Bin Salleh,USTAZ NIK ZAWAWI,55,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),52937,1,won,0,PN,Matched (3)
P.029,KELANTAN,P.029,Machang,88825,96.34,3.09,.16,.05,.06,0,.29,99.69,.01,.29,.01,6.57,23.05,24.21,16.85,13.64,9.68,4.44,1.29,.27,49.3,50.7,Semi Urban,P.029 Machang,28,Kelantan,3,Wan Ahmad Fayhsal Bin Wan Ahmad Kamal,WAN AHMAD FAYHSAL,35,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),35603,1,won,1,PN,Matched (3)
P.030,KELANTAN,P.030,Jeli,59798,97.72,.18,.12,.36,.26,.79,.58,96.83,0,.48,2.69,6.63,23.65,24.35,17.63,13.33,8.84,4.01,1.18,.38,50.5,49.5,Rural,P.030 Jeli,29,Kelantan,2,Zahari Bin Kechik,POK ZAHARI,62,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),27072,1,won,1,PN,Matched (3)
P.031,KELANTAN,P.031,Kuala Krai,92335,94.12,4.11,1.12,.06,.05,.01,.54,99.7,0,.3,0,7.07,23.98,25.1,17.16,12.42,8.85,3.97,1.21,.24,50.13,49.87,Rural,P.031 Kuala Krai,30,Kelantan,1,Abdul Latiff Bin Abdul Rahman,USTAZ LATIFF,51,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),42740,1,won,0,PN,Matched (3)
P.032,KELANTAN,P.032,Gua Musang,70254,78.55,5.81,.47,.1,.08,14.5,.5,99.63,.01,.37,0,8.25,27.04,26.94,15.24,9.890000000000001,8.31,3.56,.65,.13,50.87,49.13,Rural,P.032 Gua Musang,31,Kelantan,2,Mohd Azizi Bin Abu Naim,MOHD AZIZI ABU NAIM,50,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),21826,1,won,1,PN,Matched (3)
P.033,TERENGGANU,P.033,Besut,111650,97.97,1.3,.09,.09,.07,.02,.45,98.42,.01,.34,1.23,7.44,25.1,25.7,16.9,12.15,8.01,3.61,.92,.17,49.85,50.15,Semi Urban,P.033 Besut,32,Terengganu,1,Che Mohamad Zulkifly Bin Jusoh,DATUK ABE ZUL,63,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),49569,1,won,0,PN,Matched (3)
P.034,TERENGGANU,P.034,Setiu,107294,99.23,.28,.04,.09,.06,.01,.3,99.7,0,.27,.02,7.04,24.61,26.14,17.64,12.05,7.77,3.55,1,.18,49.6,50.4,Rural,P.034 Setiu,33,Terengganu,2,Shaharizukirnain Bin Abd Kadir,USTAZ ZUKIRNAIN ABD KADIR,53,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),50768,1,won,0,PN,Matched (3)
P.035,TERENGGANU,P.035,Kuala Nerus,105952,98.38,1.05,.09,.1,.06,0,.32,98.48,.01,.72,.79,7.33,25.17,26.44,16.74,11.96,7.98,3.32,.93,.12,50.03,49.97,Urban,P.035 Kuala Nerus,34,Terengganu,1,Alias Bin Razak,DATO' DR. HAJI ALIAS RAZAK,63,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),56697,1,won,1,PN,Matched (3)
P.036,TERENGGANU,P.036,Kuala Terengganu,123305,90.23,8.65,.55,.08,.07,0,.42,98.84,.02,1.11,.03,5.56,20.57,25.1,17.69,13.85,10.65,4.86,1.46,.26,49.72,50.28,Urban,P.036 Kuala Terengganu,35,Terengganu,4,Ahmad Amzad Bin Mohamed @ Hashim,DATUK HAJI AMZAD HASHIM,52,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),63016,1,won,0,PN,Matched (3)
P.037,TERENGGANU,P.037,Marang,131756,97.53,1.87,.08,.06,.06,0,.39,99.43000000000001,.01,.43,.13,7.26,24.5,26.03,16.62,12.5,8.369999999999999,3.5,1.07,.14,49.74,50.26,Semi Urban,P.037 Marang,36,Terengganu,1,Abdul Hadi Bin Awang,TUAN GURU HAJI ABDUL HADI AWANG,75,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),73115,1,won,0,PN,Matched (3)
P.038,TERENGGANU,P.038,Hulu Terengganu,87917,98.81999999999999,.43,.04,.06,.05,.31,.29,99.73,0,.26,0,6.22,22.45,27.05,17.57,12.1,8.960000000000001,4.11,1.31,.24,49.59,50.41,Rural,P.038 Hulu Terengganu,37,Terengganu,3,Rosol Bin Wahid,DATO ROSOL WAHID,58,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),42910,1,won,0,PN,Matched (3)
P.039,TERENGGANU,P.039,Dungun,115559,95.70999999999999,3.16,.19,.13,.09,.01,.72,99.47,.01,.48,.03,7.53,24.49,25.62,17.24,12.59,8.289999999999999,3.28,.79,.16,50.05,49.95,Semi Urban,P.039 Dungun,38,Terengganu,5,Wan Hassan Bin Mohd Ramli,USTAZ HAJI WAN HASSAN,65,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),59720,1,won,0,PN,Matched (3)
P.040,TERENGGANU,P.040,Kemaman,139423,93.17,5.06,.53,.11,.16,.23,.74,99.70999999999999,.01,.27,.01,7.81,24.02,25.15,17.42,12.6,8.65,3.39,.79,.17,50.57,49.43,Semi Urban,P.040 Kemaman,39,Terengganu,2,Che Alias Bin Hamid,USTAZ CHE ALIAS HAMID,51,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),65714,1,won,1,PN,Matched (3)
P.041,PULAU PINANG,P.041,Kepala Batas,83081,79.90000000000001,15.5,4.17,.09,.07,0,.26,99.17,0,.83,0,7.5,23.32,20.5,17.43,14.92,9.630000000000001,5,1.49,.2,49.38,50.62,Semi Urban,P.041 Kepala Batas,40,Pulau Pinang,2,Siti Mastura Binti Muhammad,DR USTAZAH MASTURA,33,female,bumiputera,PERIKATAN NASIONAL (PN),28604,1,won,1,PN,Matched (3)
P.042,PULAU PINANG,P.042,Tasek Gelugor,80868,77.93000000000001,15.08,6.35,.16,.15,0,.31,96.77,.01,.15,3.07,6.54,22.31,22.6,17.64,14.27,9.9,5.07,1.48,.21,49.41,50.59,Semi Urban,P.042 Tasek Gelugor,41,Pulau Pinang,5,Wan Saifulruddin Bin Wan Jan,DATUK WAN SAIFUL WAN JAN,47,male,bumiputera,PERIKATAN NASIONAL (PN),31116,1,won,1,PN,Matched (3)
P.043,PULAU PINANG,P.043,Bagan,89447,14.51,69.31999999999999,15.63,.13,.05,0,.36,99.8,0,.2,0,4.81,16.31,18.3,18.22,17.48,14.43,7.7,2.24,.51,49.32,50.68,Urban,P.043 Bagan,42,Pulau Pinang,2,Lim Guan Eng,LIM GUAN ENG,61,male,chinese,PAKATAN HARAPAN (PH),55797,1,won,0,PH,Matched (3)
P.044,PULAU PINANG,P.044,Permatang Pauh,107186,73.12,19.46,6.6,.17,.09,.01,.55,99.28,.01,.71,0,6.29,20.86,21.19,17.59,15.74,11.57,5.23,1.32,.21,49.16,50.84,Urban,P.044 Permatang Pauh,43,Pulau Pinang,2,Muhammad Fawwaz Bin Mohamad Jan,UST FAWWAZ MD JAN,39,male,bumiputera,PERIKATAN NASIONAL (PN),37638,1,won,1,PN,Matched (3)
P.045,PULAU PINANG,P.045,Bukit Mertajam,120819,21.16,67.38,10.87,.12,.05,0,.41,99.95999999999999,.01,.03,0,5.93,20.07,19.99,17.61,15.32,12.28,6.52,1.96,.31,48.93,51.07,Urban,P.045 Bukit Mertajam,44,Pulau Pinang,1,Sim Chee Keong,STEVEN SIM CHEE KEONG,40,male,chinese,PAKATAN HARAPAN (PH),71722,1,won,0,PH,Matched (3)
P.046,PULAU PINANG,P.046,Batu Kawan,88812,22.82,54.05,22.27,.2,.07,0,.58,99.78,0,.22,0,6.37,20.33,20.02,17.89,16,11.56,5.76,1.72,.34,49.03,50.97,Urban,P.046 Batu Kawan,45,Pulau Pinang,2,Chow Kon Yeow,CHOW KON YEOW,64,male,chinese,PAKATAN HARAPAN (PH),50744,1,won,0,PH,Matched (3)
P.047,PULAU PINANG,P.047,Nibong Tebal,100062,46.75,34.72,17.86,.13,.07,.01,.47,99.45,.01,.54,0,6.98,22.65,20.89,17.92,15.14,9.84,4.96,1.38,.24,48.66,51.34,Semi Urban,P.047 Nibong Tebal,46,Pulau Pinang,1,Fadhlina Binti Sidek,FADHLINA BINTI SIDEK,45,female,bumiputera,PAKATAN HARAPAN (PH),42188,1,won,1,PH,Matched (3)
P.048,PULAU PINANG,P.048,Bukit Bendera,92521,15.07,71.12,12.04,.22,.15,.01,1.39,98.84,.02,.6,.54,3.6,13.55,16,16.53,17.94,16.1,10.78,4.5,1.01,47.25,52.75,Urban,P.048 Bukit Bendera,47,Pulau Pinang,1,Syerleena Binti Abdul Rashid,SYERLEENA ABDUL RASHID,42,female,bumiputera,PAKATAN HARAPAN (PH),49353,1,won,1,PH,Matched (3)
P.049,PULAU PINANG,P.049,Tanjong,52803,6.28,81.75,11.24,.12,.09,0,.51,98.29000000000001,0,1.62,.09,1.94,8.529999999999999,12.45,14.66,19.43,22.25,13.27,4.78,2.69,50.56,49.44,Urban,P.049 Tanjong,48,Pulau Pinang,1,Lim Hui Ying,LIM HUI YING,59,female,chinese,PAKATAN HARAPAN (PH),31968,1,won,1,PH,Matched (3)
P.050,PULAU PINANG,P.050,Jelutong,93989,21.02,63.2,14.88,.16,.09,0,.64,99.01000000000001,.01,.99,0,4.16,15.25,18.55,17.65,16.93,15.49,8.539999999999999,2.8,.63,48.05,51.95,Urban,P.050 Jelutong,49,Pulau Pinang,1,Sanisvara Nethaji Rayer A/L Rajaji,SANISVARA NETHAJI RAYER (RSN RAYER),51,male,indian,PAKATAN HARAPAN (PH),50369,1,won,0,PH,Matched (3)
P.051,PULAU PINANG,P.051,Bukit Gelugor,117134,14.64,71.69,12.83,.12,.09,0,.63,99.84999999999999,.02,.07,.06,4.76,16.99,19.19,18.58,16.38,13.12,7.75,2.72,.5,47.78,52.22,Urban,P.051 Bukit Gelugor,50,Pulau Pinang,2,Ramkarpal Singh A/L Karpal Singh,RAMKARPAL SINGH,46,male,other,PAKATAN HARAPAN (PH),71204,1,won,0,PH,Matched (3)
P.052,PULAU PINANG,P.052,Bayan Baru,119640,38.77,47.85,12.18,.3,.19,0,.71,98.11,.03,.27,1.6,5.49,19.02,21.45,18.3,15.4,12.45,6.01,1.63,.24,48.57,51.43,Urban,P.052 Bayan Baru,51,Pulau Pinang,5,Sim Tze Tzin,SIM TZE TZIN,46,male,chinese,PAKATAN HARAPAN (PH),55209,1,won,0,PH,Matched (3)
P.053,PULAU PINANG,P.053,Balik Pulau,80264,65.23,29.05,4.83,.24,.14,.01,.5,99.01000000000001,.01,.98,0,6.62,21.86,20.65,17.1,15.86,11.07,5.01,1.57,.27,49.85,50.15,Semi Urban,P.053 Balik Pulau,52,Pulau Pinang,2,Muhammad Bakhtiar Bin Wan Chik,MUHAMMAD BAKHTIAR BIN WAN CHIK,57,male,bumiputera,PAKATAN HARAPAN (PH),24564,1,won,0,PH,Matched (3)
P.054,PERAK,P.054,Gerik,47565,66.84,13.51,3.03,.63,.74,12.05,3.2,94.09,.01,2.32,3.58,6.95,24.77,24.73,16.06,12.35,9.4,4.02,1.44,.28,52.49,47.51,Rural,P.054 Gerik,53,Perak,2,Fathul Huzir Bin Ayob,FATHUL HUZIR AYOB,39,male,bumiputera,PERIKATAN NASIONAL (PN),15105,1,won,1,PN,Matched (3)
P.055,PERAK,P.055,Lenggong,36950,83.20999999999999,11.8,1.38,.12,.06,3.12,.31,99.86,0,.14,0,5.38,19.47,24.95,17.28,13.18,11.25,5.98,2.07,.43,49.51,50.49,Rural,P.055 Lenggong,54,Perak,1,Shamsul Anuar Bin Nasarah,DR SHAMSUL ANUAR NASARAH,55,male,bumiputera,BARISAN NASIONAL (BN),12588,1,won,0,BN,Matched (3)
P.056,PERAK,P.056,Larut,65719,89.94,3.92,5.62,.09,.05,.01,.38,99.65000000000001,.01,.34,0,5.95,21.62,22.92,17.35,13.6,10.58,5.63,1.98,.36,49.12,50.88,Rural,P.056 Larut,55,Perak,4,Hamzah Bin Zainudin,DATO SERI HAMZAH ZAINUDIN,65,male,bumiputera,PERIKATAN NASIONAL (PN),28350,1,won,0,PN,Matched (3)
P.057,PERAK,P.057,Parit Buntar,68502,68.43000000000001,25.88,5.1,.07,.04,0,.48,99.84999999999999,.01,.14,0,5.55,19.49,20.81,18.59,16.25,11.07,6.01,1.81,.41,50.05,49.95,Semi Urban,P.057 Parit Buntar,56,Perak,4,Mohd Misbahul Munir Bin Masduki,USTAZ MISBAH,59,male,bumiputera,PERIKATAN NASIONAL (PN),23223,1,won,1,PN,Matched (3)
P.058,PERAK,P.058,Bagan Serai,80293,78.25,12.36,9.01,.06,.05,.01,.26,99.59,0,.41,0,6.29,21.26,21.85,17.71,15.13,10.12,5.48,1.76,.4,49.71,50.29,Semi Urban,P.058 Bagan Serai,57,Perak,1,Idris Bin Ahmad,DATUK USTAZ IDRIS,59,male,bumiputera,PERIKATAN NASIONAL (PN),33753,1,won,0,PN,Matched (3)
P.059,PERAK,P.059,Bukit Gantang,94253,71.25,19.14,9.039999999999999,.1,.08,.01,.38,99.91,.01,.08,0,5.71,21.22,23.35,17.11,13.98,11.41,5.32,1.58,.32,49.41,50.59,Semi Urban,P.059 Bukit Gantang,58,Perak,1,Syed Abu Hussin Bin Hafiz Syed Abdul Fasal,DATO' SYED ABU HUSSIN,62,male,bumiputera,PERIKATAN NASIONAL (PN),32625,1,won,0,PN,Matched (3)
P.060,PERAK,P.060,Taiping,121566,39.67,44.38,14.45,.29,.54,.03,.64,96.3,.01,.4,3.28,4.72,18.95,22.3,16.12,13.67,13.32,7.59,2.73,.59,49.11,50.89,Urban,P.060 Taiping,59,Perak,3,Wong Kah Woh,WONG KAH WOH,42,male,chinese,PAKATAN HARAPAN (PH),47098,1,won,0,PH,Matched (3)
P.061,PERAK,P.061,Padang Rengas,38686,77.87,14.82,6.75,.08,.06,0,.43,99.89,.01,.11,0,5.11,19.18,22.12,16.95,14.8,12.26,6.35,2.68,.5600000000000001,49.52,50.48,Semi Urban,P.061 Padang Rengas,60,Perak,1,Azahari Bin Hasan,KAPTEN AZAHARI,48,male,bumiputera,PERIKATAN NASIONAL (PN),12931,1,won,1,PN,Matched (3)
P.062,PERAK,P.062,Sungai Siput,72395,34.2,34.67,21.13,.07,.06,9.59,.29,99.59,0,.4,0,5.6,19.39,20.54,17.95,15.65,11.84,6.21,2.38,.44,49.97,50.03,Semi Urban,P.062 Sungai Siput,61,Perak,4,Kesavan A/L Subramaniam,S. KESAVAN,50,male,indian,PAKATAN HARAPAN (PH),21637,1,won,0,PH,Matched (3)
P.063,PERAK,P.063,Tambun,160558,64.63,20.49,12.48,.29,.41,.99,.71,97.04000000000001,.01,1.62,1.33,6.9,23.24,22.74,16.81,13.6,10.48,4.71,1.3,.22,49.54,50.46,Urban,P.063 Tambun,62,Perak,1,Anwar Bin Ibrahim,ANWAR IBRAHIM,75,male,bumiputera,PAKATAN HARAPAN (PH),49625,1,won,0,PH,Matched (3)
P.064,PERAK,P.064,Ipoh Timor,118178,23.08,68.41,7.49,.15,.13,.03,.71,97.81,.03,1.66,.5,3.74,14.16,17.92,17.21,15.8,15.35,10.29,4.44,1.08,49.12,50.88,Urban,P.064 Ipoh Timor,63,Perak,3,Lee Chuan How,HOWARD LEE CHUAN HOW,39,male,chinese,PAKATAN HARAPAN (PH),57549,1,won,1,PH,Matched (3)
P.065,PERAK,P.065,Ipoh Barat,114654,13.15,59.11,26.96,.08,.1,.04,.5600000000000001,99.23999999999999,.01,.26,.49,4.29,16.62,18.35,17,16.23,14.42,8.76,3.43,.89,48.99,51.01,Urban,P.065 Ipoh Barat,64,Perak,2,M.Kulasegaran A/L V.Murugeson,M. KULA,65,male,indian,PAKATAN HARAPAN (PH),63915,1,won,0,PH,Matched (3)
P.066,PERAK,P.066,Batu Gajah,111896,12.65,69.09,17.59,.08,.06,.1,.43,99.47,.01,.5,.02,5,17.84,17.76,18.39,16.78,13.32,7.6,2.84,.48,50.54,49.46,Urban,P.066 Batu Gajah,65,Perak,2,Sivakumar A/L Varatharaju Naidu,V. SIVAKUMAR,51,male,indian,PAKATAN HARAPAN (PH),60999,1,won,0,PH,Matched (3)
P.067,PERAK,P.067,Kuala Kangsar,46985,70.34999999999999,21.02,6.57,.1,.07,1.17,.73,99.28,.01,.71,0,5.35,19.67,21.86,17.32,14.17,12.01,6.28,2.71,.62,49.36,50.64,Semi Urban,P.067 Kuala Kangsar,66,Perak,1,Iskandar Dzulkarnain Bin Abdul Khalid,ISKANDAR DZULKARNAIN,46,male,bumiputera,PERIKATAN NASIONAL (PN),14380,1,won,1,PN,Matched (3)
P.068,PERAK,P.068,Beruas,108249,27.13,56.81,15.17,.25,.2,.01,.42,99.81999999999999,.01,.16,0,5.49,18.89,20.67,17.71,15.07,12.28,6.94,2.42,.53,50.31,49.69,Semi Urban,P.068 Beruas,67,Perak,1,Ngeh Koo Ham,DATO' NGEH KOO HAM,61,male,chinese,PAKATAN HARAPAN (PH),46710,1,won,0,PH,Matched (3)
P.069,PERAK,P.069,Parit,47915,92.34,2,2.52,.12,.13,2.22,.68,99.01000000000001,0,.76,.23,6.01,21.25,22.49,16.88,14.68,11.09,4.96,2.25,.39,49.61,50.39,Semi Urban,P.069 Parit,68,Perak,1,Muhammad Ismi Bin Mat Taib,USTAZ ISMI,48,male,bumiputera,PERIKATAN NASIONAL (PN),17181,1,won,1,PN,Matched (3)
P.070,PERAK,P.070,Kampar,89894,34.58,52.64,10.12,.1,.09,2.02,.46,99.56999999999999,.01,.42,0,4.48,16.49,18.55,17.55,16.7,14.15,8.07,3.3,.73,50.65,49.35,Semi Urban,P.070 Kampar,69,Perak,3,Chong Zhemin,CHONG ZHEMIN,37,male,chinese,PAKATAN HARAPAN (PH),30467,1,won,1,PH,Matched (3)
P.071,PERAK,P.071,Gopeng,143657,42.69,44.76,9.630000000000001,.16,.11,2.11,.52,99.16,.02,.23,.59,6.26,22.09,21,16.92,14.7,11.24,5.56,1.91,.33,49.31,50.69,Urban,P.071 Gopeng,70,Perak,3,Tan Kar Hing,TAN KAR HING,40,male,chinese,PAKATAN HARAPAN (PH),55880,1,won,1,PH,Matched (3)
P.072,PERAK,P.072,Tapah,61946,45.53,24.48,13.9,.15,.14,14.88,.92,97.34,.01,1.59,1.06,5.23,19.99,22.61,16.74,14.36,11.82,6.18,2.48,.58,50.27,49.73,Rural,P.072 Tapah,71,Perak,4,Saravanan A/L Murugan,DATUK SERI M. SARAVANAN,54,male,indian,BARISAN NASIONAL (BN),18398,1,won,0,BN,Matched (3)
P.073,PERAK,P.073,Pasir Salak,74761,80.97,12.21,3.26,.07,.05,3.14,.3,99.89,.01,.11,0,6.04,21.25,23.47,17.84,13.8,9.720000000000001,5.64,1.84,.39,49.87,50.13,Rural,P.073 Pasir Salak,72,Perak,3,Jamaludin Bin Yahya,USTAZ JAMALUDIN BIN YAHYA,51,male,bumiputera,PERIKATAN NASIONAL (PN),24897,1,won,1,PN,Matched (3)
P.074,PERAK,P.074,Lumut,92972,72.2,14.13,11.36,1.07,.63,.03,.59,90.39,.01,.5600000000000001,9.029999999999999,6.61,23.94,25.1,17.04,12.43,9.619999999999999,3.97,1.02,.25,52.54,47.46,Semi Urban,P.074 Lumut,73,Perak,3,Nordin Bin Ahmad Ismail,KOMANDER (B) NORDIN,57,male,bumiputera,PERIKATAN NASIONAL (PN),25212,1,won,1,PN,Matched (3)
P.075,PERAK,P.075,Bagan Datuk,58183,56.44,20.44,21.6,.31,.07,.01,1.13,99.79000000000001,.01,.2,0,4.84,19.36,24.2,17,14.03,11.34,6.69,2.05,.51,50.42,49.58,Rural,P.075 Bagan Datuk,74,Perak,4,Ahmad Zahid Bin Hamidi,ZAHID HAMIDI,69,male,bumiputera,BARISAN NASIONAL (BN),16578,1,won,0,BN,Matched (3)
P.076,PERAK,P.076,Teluk Intan,87222,41.88,38.36,18.69,.05,.05,.25,.71,99.54000000000001,.01,.45,0,4.98,19.18,22.33,16.49,14,12.74,7.24,2.4,.64,48.95,51.05,Urban,P.076 Teluk Intan,75,Perak,1,Nga Kor Ming,NGA KOR MING,50,male,chinese,PAKATAN HARAPAN (PH),33133,1,won,0,PH,Matched (3)
P.077,PERAK,P.077,Tanjong Malim,93873,54.96,23.65,13,.13,.1,7.19,.96,99.48,0,.45,.06,5.49,19.39,23.62,18,12.77,11.3,6.91,2.02,.5,50.16,49.84,Semi Urban,P.077 Tanjong Malim,76,Perak,3,Chang Lih Kang,CHANG LIH KANG,42,male,chinese,PAKATAN HARAPAN (PH),25140,1,won,0,PH,Matched (3)
P.078,PAHANG,P.078,Cameron Highlands,46020,30.97,27.15,12.19,.28,.11,28.71,.59,99.22,.01,.54,.23,7.17,22.76,22.45,16.8,13.32,9.949999999999999,5.19,1.86,.5,50.56,49.44,Semi Urban,P.078 Cameron Highlands,77,Pahang,1,Ramli Bin Mohd Nor,DATO' RAMLI BIN MOHD NOR,64,male,bumiputera,BARISAN NASIONAL (BN),16120,1,won,1,BN,Matched (3)
P.079,PAHANG,P.079,Lipis,47124,78.23,14.76,4.99,.11,.08,1.14,.6899999999999999,98.08,0,.63,1.29,6.02,22.01,23.76,15.61,13.88,10.86,5.24,2.17,.45,50.88,49.12,Rural,P.079 Lipis,78,Pahang,4,Abdul Rahman Bin Mohamad,DATO SRI ABDUL RAHMAN BIN MOHAMAD,60,male,bumiputera,BARISAN NASIONAL (BN),17672,1,won,0,BN,Matched (3)
P.080,PAHANG,P.080,Raub,75064,52.06,36.59,6.19,.07,.06,4.34,.6899999999999999,99.48999999999999,.01,.45,.05,5.27,19.24,23.14,16.59,14.56,12.16,6.34,2.28,.41,50.68,49.32,Semi Urban,P.080 Raub,79,Pahang,1,Chow Yu Hui,CHOW YU HUI,39,male,chinese,PAKATAN HARAPAN (PH),21613,1,won,1,PH,Matched (3)
P.081,PAHANG,P.081,Jerantut,87051,82.2,11.77,2.45,.09,.07,2.66,.75,99.59,.01,.37,.04,6.36,20.94,25.09,18.81,12.45,8.789999999999999,5.86,1.48,.21,50.19,49.81,Rural,P.081 Jerantut,80,Pahang,3,Khairil Nizam Bin Khirudin,IR. HAJI KHAIRIL,43,male,bumiputera,PERIKATAN NASIONAL (PN),31701,1,won,1,PN,Matched (3)
P.082,PAHANG,P.082,Indera Mahkota,120549,67.34,25.48,5.58,.4,.26,.09,.86,98.33,.01,.99,.67,8.48,25.95,23.24,16.07,12.7,9.16,3.37,.88,.15,50.02,49.98,Urban,P.082 Indera Mahkota,81,Pahang,2,Saifuddin Bin Abdullah,DATO' SRI SAIFUDDIN ABDULLAH,61,male,bumiputera,PERIKATAN NASIONAL (PN),41692,1,won,0,PN,Matched (3)
P.083,PAHANG,P.083,Kuantan,87597,69.03,26.3,3.22,.17,.13,.22,.92,98.2,.01,1.75,.04,6.51,21.69,21.83,16.03,14.52,11.74,5.58,1.73,.38,50.43,49.57,Semi Urban,P.083 Kuantan,82,Pahang,3,Wan Razali Bin Wan Nor,WAN RAZALI WAN NOR,41,male,bumiputera,PERIKATAN NASIONAL (PN),25514,1,won,1,PN,Matched (3)
P.084,PAHANG,P.084,Paya Besar,79744,83.95999999999999,11.06,1.92,.1,.12,1.56,1.28,99.86,.01,.09,.04,7.26,22.9,24.67,16.88,12.72,9.73,4.5,1.18,.17,49.7,50.3,Rural,P.084 Paya Besar,83,Pahang,4,Mohd Shahar Bin Abdullah,DATO' INDERA MOHD SHAHAR BIN ABDULLAH,42,male,bumiputera,BARISAN NASIONAL (BN),26899,1,won,0,BN,Matched (3)
