,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other
25,Kelantan,P.026 Ketereh,3,Khlir Bin Mohd Nor,MEJ JEN DATO HJ KHLIR (B),64,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),40542,1,won,1,PN,97.70039668,1.909475339,0.076715815,0.31341217
26,Kelantan,P.027 Tanah Merah,5,Ikmal Hisham Bin Abdul Aziz,DATO' SRI IKMAL HISHAM,57,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),54266,1,won,0,PN,95.39564715,3.803454282,0.301964806,0.498933763
27,Kelantan,P.028 Pasir Puteh,4,Nik Muhammad Zawawi Bin Salleh,USTAZ NIK ZAWAWI,55,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),52937,1,won,0,PN,98.87597991,0.460129518,0.054830249,0.609060328
28,Kelantan,P.029 Machang,3,Wan Ahmad Fayhsal Bin Wan Ahmad Kamal,WAN AHMAD FAYHSAL,35,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),35603,1,won,1,PN,98.00016437,1.800765234,0.094969363,0.104101033
29,Kelantan,P.030 Jeli,2,Zahari Bin Kechik,POK ZAHARI,62,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),27072,1,won,1,PN,99.37335049,0.21581705,0.232718385,0.178114071
30,Kelantan,P.031 Kuala Krai,1,Abdul Latiff Bin Abdul Rahman,USTAZ LATIFF,51,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),42740,1,won,0,PN,95.43923757,3.494148437,0.835514296,0.231099699
31,Kelantan,P.032 Gua Musang,2,Mohd Azizi Bin Abu Naim,MOHD AZIZI ABU NAIM,50,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),21826,1,won,1,PN,93.75685601,4.548099394,1.358324987,0.336719607
32,Terengganu,P.033 Besut,1,Che Mohamad Zulkifly Bin Jusoh,DATUK ABE ZUL,63,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),49569,1,won,0,PN,98.60539461,0.991808192,0.073526474,0.329270729
33,Terengganu,P.034 Setiu,2,Shaharizukirnain Bin Abd Kadir,USTAZ ZUKIRNAIN ABD KADIR,53,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),50768,1,won,0,PN,99.61630975,0.185602876,0.033291996,0.164795379
34,Terengganu,P.035 Kuala Nerus,1,Alias Bin Razak,DATO' DR. HAJI ALIAS RAZAK,63,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),56697,1,won,1,PN,97.90357278,1.588138524,0.370495353,0.137793338
35,Terengganu,P.036 Kuala Terengganu,4,Ahmad Amzad Bin Mohamed @ Hashim,DATUK HAJI AMZAD HASHIM,52,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),63016,1,won,0,PN,94.6444884,4.789139639,0.395586588,0.170785374
36,Terengganu,P.037 Marang,1,Abdul Hadi Bin Awang,TUAN GURU HAJI ABDUL HADI AWANG,75,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),73115,1,won,0,PN,98.50406423,1.291944529,0.030567495,0.173423747
37,Terengganu,P.038 Hulu Terengganu,3,Rosol Bin Wahid,DATO ROSOL WAHID,58,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),42910,1,won,0,PN,99.49331633,0.190148703,0.017079225,0.299455742
38,Terengganu,P.039 Dungun,5,Wan Hassan Bin Mohd Ramli,USTAZ HAJI WAN HASSAN,65,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),59720,1,won,0,PN,97.53775893,2.176480183,0.084814875,0.200946012
